MEDICATION;ATC_CODE;CAT_MATCH;size;PIPE;INGREDIENT;STEP1;STEP2;STEP31;STEP32;STEP33;LEV1;LEV2;LEV3;TRUE12;TRUE123;TRUE13;TRUE23;MATCH;ATC_JOS_LVL1;ATC_CODE_LVL1;eval1;eval2;eval31;eval32;eval33;correct;level;kommentar;Kommentar Apotheke
RAMIPRIL HEXAL 5 mg Tabletten | (Ramipril);;No Match;6084;1;ramipril;;C09AA05;C09AA05;;;94;;;0;0;0;1;0;C;;;1;1;;;0;5;;
ATORVASTATIN ratiopharm 40 mg Filmtabletten | (Atorvastatin);;No Match;5326;1;atorvastatin;;;C10AA05;;;96;;;0;0;0;0;0;C;;;;1;;;0;5;;
Zopiclon 7,5 mg;;No Match;5316;0;;;;N05CF01;;;80;;;0;0;0;0;0;N;;;;1;;;0;5;;
E153;;No Match;4855;0;;;;N04BC05;A10BG03;;35;29.0;;0;0;0;0;0;N;;;;0;0;;B05BB01;5;;
TAMSUNAR 0,4 mg Hartkaps.m.veränd.Wirkst.-Frs. | (Tamsulosin);;No Match;4399;1;tamsulosin;;;G04CA02;G04CA52;;57;50.0;;0;0;0;0;0;G;;;;1;0;;0;5;;
E 153;;No Match;4317;0;;;;B05BB01;;;75;;;0;0;0;0;0;B;;;;1;;;0;5;;
Paracetamol p.o./i.v. (bei Durchführung auswählen);;No Match;3879;0;;;;N02BE01;;;65;;;0;0;0;0;0;N;;;;1;;;0;5;;
ALLOPURINOL HEXAL 300 Tabletten | (Allopurinol);;No Match;3799;1;allopurinol;;;M04AA01;M04AA51;;73;69.0;;0;0;0;0;0;M;;;;1;0;;0;5;;
INHIXA 4.000 I.E. (40 mg) 0,4 ml Injektionslösung | (Enoxaparin) GFR > 30;;No Match;3592;1;enoxaparin) gfr > 3;;;B02BD09;B02BD36;;69;69.0;;0;0;0;0;0;B;;;;0;0;;B01AB05;5;;
ELEKTROLYT Inf.-Lsg. 153 | (Natrium-Ion, Kalium-Ion, Calcium-Ion, Magnesium-Ion);;No Match;3509;1;natrium-ion, kalium-ion, calcium-ion, magnesium-ion;;;B05BB01;;;78;;;0;0;0;0;0;B;;;;1;;;0;5;;
MONO EMBOLEX 3.000 I.E.Prophyl.Sicherh.Spr. | (Certoparin natrium);;No Match;3475;1;certoparin natrium;B01AB13;;B01AB13;;;80;;;0;0;1;0;0;B;;1;;1;;;0;5;;
RAMIPRIL HEXAL 2,5 mg Tabletten | (Ramipril);;No Match;3141;1;ramipril;;C09AA05;C09AA05;C09BA25;;95;94.0;;0;0;0;1;0;C;;;1;1;1;;0;5;;
ELEKTROLYT Inf.-Lsg. 153 PE-Flasche | (Natrium-Ion, Kalium-Ion, Calcium-Ion, Chlorid-Ion);;No Match;3118;1;natrium-ion, kalium-ion, calcium-ion, chlorid-ion;;;B05BB01;;;78;;;0;0;0;0;0;B;;;;1;;;0;5;;
UNACID 3 g (ab Saal);;No Match;2929;0;;;;J01CR01;;;75;;;0;0;0;0;0;J;;;;1;;;0;5;;
Lasix;;No Match;2834;0;;;C03CA01;C03CA01;D01AE15;;100;67.0;;0;0;0;1;0;C;;;1;1;0;;0;5;;
Blutkulturen bei T > 38°C (bis 3/d);;No Match;2819;0;;;;A07DA03;R06AE07;B03AA07;52;47.0;47.0;0;0;0;0;0;A;;;;0;0;0;nomed;nomed;no_med;nomed
PANTOPRAZOL NORMON 40 mg Plv.z.Herst.e.Injek.-Lsg. | (Pantoprazol);;No Match;2790;1;pantoprazol;A02BC02;;A02BC02;;;72;;;0;0;1;0;0;A;;1;;1;;;0;5;;
ALLOPURINOL HEXAL 100 Tabletten | (Allopurinol);;No Match;2767;1;allopurinol;;;M04AA01;M04AA51;;73;69.0;;0;0;0;0;0;M;;;;1;0;;0;5;;
MCP 10 mg p.o./i.v. (bei Durchführung auswählen);;No Match;2657;0;;;;A12CC02;A03FA01;;71;70.0;;0;0;0;0;0;A;;;;0;1;;0;5;;
REKAWAN Filmtabletten 1000 mg | (Kalium-Ion, Kalium-Ion);;No Match;2634;1;kalium-ion, kalium-ion;;;N03AG01;;;75;;;0;0;0;0;0;N;;;;0;;;A12BA01;5;;
LAXOBERAL Abführ Tropfen | (Natrium picosulfat);;No Match;2558;1;natrium picosulfat;;;A06AB08;V04CZ;;37;30.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
"Insulintherapie: AO auf UKD Inuslin-Anpassungsplan 9636Dokumentation: auf Diabteskurve";;No Match;2437;0;;;;V06CA50;S01AX02;D06BB03;55;54.0;51.0;0;0;0;0;0;V;;;;0;0;0;A10A;3;no_med;A10A
FRAXIPARINE 0,8 ml Injektionslösg. i.e.Fertigspr. | (Nadroparin calcium);;No Match;2334;1;nadroparin calcium;;;L01BB02;D08AF01;L04AA10;63;61.0;61.0;0;0;0;0;0;L;;;;0;0;0;B01AB06;5;;
TAVOR Tabletten | (Lorazepam);;No Match;2268;1;lorazepam;N05BA06;;N05BA06;;;62;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Vomex 62 mg Amp;;No Match;2152;0;;;;A04AB02;C09CA08;;83;67.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
FRAXIPARIN 0,6 ml Injektionslösung i.e.Fertigspr. | (Nadroparin calcium);;No Match;2112;1;nadroparin calcium;;;D08AF01;L01BB02;A03FA01;62;59.0;58.0;0;0;0;0;0;D;;;;0;0;0;B01AB06;5;;
NACL 0,9% CF Care Lock | (Natrium-Ion, Chlorid-Ion);;No Match;2019;1;natrium-ion, chlorid-ion;;;B05CB01;D08AF01;;84;54.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
Movicol Btl;;No Match;2017;0;;;;A06AD65;S01EB09;;78;60.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
LEVETIRACETAM STADA 500 mg Filmtabletten | (Levetiracetam);;No Match;2003;1;levetiracetam;N03AX14;;N03AX14;;;80;;;0;0;1;0;0;N;;1;;1;;;0;5;;
ASS RATIOPHARM 100 mg TAH Tabletten | (Acetylsalicylsäure);;No Match;1992;1;acetylsalicylsäure;;;N02BA01;B01AC06;;89;88.0;;0;0;0;0;0;N;;;;0;1;;0;5;;
CANDESARTAN HEXAL 8 mg Tabletten | (Candesartan);;No Match;1910;1;candesartan;;;C09CA06;;;94;;;0;0;0;0;0;C;;;;1;;;0;5;;
Bifiteral ml;;No Match;1879;0;;;;A06AD11;A06AD04;;86;56.0;;0;0;0;0;0;A;;;;1;0;;0;5;;
MIRTAZAPIN HEXAL 15 mg Filmtabletten | (Mirtazapin);;No Match;1870;1;mirtazapin;N06AX11;;N06AX11;;;91;;;0;0;1;0;0;N;;1;;1;;;0;5;;
IBUPROFEN STADA 600 mg Filmtabletten | (Ibuprofen);;No Match;1766;1;ibuprofen;;M01AE01;M01AE01;;;90;;;0;0;0;1;0;M;;;1;1;;;0;5;;
DUROGESIC SMAT 12 µg/h 2,1mg Fentanyl/Pfl. | (Fentanyl);;No Match;1711;1;fentanyl;;N02AB03;N02AB03;;;92;;;0;0;0;1;0;N;;;1;1;;;0;5;;
Prednisolon;;No Match;1665;0;;;;S01CA53;H02AB06;;100;100.0;;0;0;0;0;0;S;;;;0;1;;0;5;;
AMLODIPIN HEXAL 5 mg Tabletten | (Amlodipin);;No Match;1637;1;amlodipin;;C08CA01;C08CA01;;;94;;;0;0;0;1;0;C;;;1;1;;;0;5;;
LEVETIRACETAM STADA 1.000 mg Filmtabletten | (Levetiracetam);;No Match;1636;1;levetiracetam;N03AX14;;N03AX14;;;75;;;0;0;1;0;0;N;;1;;1;;;0;5;;
RANITIC 150 Filmtabletten | (Ranitidin);;No Match;1611;1;ranitidin;;;N03AG01;A07EC01;;73;70.0;;0;0;0;0;0;N;;;;0;0;;A02BA02;5;;
MACROGOL STADA 13,7 g Plv.z.Her.e.Lsg.z.Einnehmen | (Natrium-Ion, Kalium-Ion, Chlorid);A06AD15;Fuzzy Match;1603;1;natrium-ion, kalium-ion, chlorid;;;C07AB07;A06AD65;N04BC05;59;59.0;59.0;0;0;0;0;2;C;A;;;0;1;0;0;5;;
Clexane 4.000 I. E. (40 mg) 0,4 ml Injektionslösung | (Enoxaparin) GFR > 30;;No Match;1513;1;enoxaparin) gfr > 3;;;B01AB05;;;75;;;0;0;0;0;0;B;;;;1;;;0;5;;
NOVANOX Tabletten | (Nitrazepam);N05CD02;Fuzzy Match;1498;1;nitrazepam;N05CD02;;N05CD02;;;33;;;0;0;1;0;1;N;N;1;;1;;;0;5;;
MEROPENEM Kabi 1 g Plv.z.Her.e.Inj.-/Inf.-L. | (Meropenem);;No Match;1477;1;meropenem;J01DH02;;J01DH02;;;74;;;0;0;1;0;0;J;;1;;1;;;0;5;;
DUROGESIC SMAT 25 µg/h 4,2mg Fentanyl/Pfl. | (Fentanyl);;No Match;1462;1;fentanyl;;;N02AB03;;;90;;;0;0;0;0;0;N;;;;1;;;0;5;;
INHIXA 4.000 I.E. (40 mg) 0,4 ml Injektionslösung !GFR > 30 | (Enoxaparin);;No Match;1453;1;enoxaparin;;;B02BD09;B02BD36;;69;69.0;;0;0;0;0;0;B;;;;0;0;;B01AB05;5;;
XIPAMID HEXAL 10 mg Tabletten | (Xipamid);;No Match;1446;1;xipamid;C03BA10;;C03BA10;;;67;;;0;0;1;0;0;C;;1;;1;;;0;5;;
PARACETAMOL Amneal 10 mg/ml 1g Inf.-L.100 ml Dsfl. | (Paracetamol);;No Match;1415;1;paracetamol;N02BE01;;N02BE01;;;69;;;0;0;1;0;0;N;;1;;1;;;0;5;;
LYRICA 75 mg Hartkapseln | (Pregabalin);;No Match;1400;1;pregabalin;N03AX16;;N03AX16;;;83;;;0;0;1;0;0;N;;1;;1;;;0;5;;
LYRICA 50 mg Hartkapseln | (Pregabalin);;No Match;1380;1;pregabalin;N03AX16;;N03AX16;;;83;;;0;0;1;0;0;N;;1;;1;;;0;5;;
RENVELA 800 mg Filmtabletten | (Sevelamer carbonat);;No Match;1375;1;sevelamer carbonat;V03AE02;;V03AE02;;;77;;;0;0;1;0;0;V;;1;;1;;;0;5;;
LYRICA 25 mg Hartkapseln | (Pregabalin);;No Match;1370;1;pregabalin;N03AX16;;N03AX16;;;92;;;0;0;1;0;0;N;;1;;1;;;0;5;;
MAGNESIUM-DIASPORAL 300 mg Granulat | (Magnesium-Ion);;No Match;1350;1;magnesium-ion;;;A12CC05;A12CC11;A12CC02;75;67.0;59.0;0;0;0;0;0;A;;;;0;0;0;A12CC04;5;;
CITALOPRAM HEXAL 20 mg Filmtabletten | (Citalopram);;No Match;1323;1;citalopram;N06AB04;N06AB04;N06AB04;;;95;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
ELEKTROLYT Inf.-Lsg.153 N Berlin Chemie Plastik | (Natrium-Ion, Kalium-Ion, Calcium-Ion);;No Match;1258;1;natrium-ion, kalium-ion, calcium-ion;;;B05BB01;;;74;;;0;0;0;0;0;B;;;;1;;;0;5;;
ADENURIC 80 mg Filmtabletten | (Febuxostat);;No Match;1248;1;febuxostat;M04AA03;;M04AA03;;;86;;;0;0;1;0;0;M;;1;;1;;;0;5;;
MIRTAZAPIN STADA 15 mg Filmtabletten | (Mirtazapin);;No Match;1229;1;mirtazapin;N06AX11;N06AX11;N06AX11;;;95;;;1;1;1;1;0;N;;1;1;1;;;0;5;;
Inf. E153 (i.v.) 500 mL;;No Match;1229;0;;;;N02BA13;B06AC01;B02BD09;55;55.0;52.0;0;0;0;0;0;N;;;;0;0;0;B05BB01;5;;
FRAXIPARIN 0,4 ml Injektionslösung i.e.Fertigspr. | (Nadroparin calcium);;No Match;1218;1;nadroparin calcium;;;D08AF01;G04CA02;;62;59.0;;0;0;0;0;0;D;;;;0;0;;B01AB06;5;;
LEPONEX Tabletten | (Clozapin);;No Match;1216;1;clozapin;N05AH02;;N05AH02;;;74;;;0;0;1;0;0;N;;1;;1;;;0;5;;
VITAMIN B12 1000 µg Inject Jenapharm Ampullen | (Cyanocobalamin);;No Match;1208;1;cyanocobalamin;B03BA01;;B03BA01;;;81;;;0;0;1;0;0;B;;1;;1;;;0;5;;
OXYGESIC 10 mg Retardtabletten | (Oxycodon) bei Schmerzen NRS>=4 (alle12h);;No Match;1201;1;oxycodon) bei schmerzen nrs>=4 (alle12h;;;N02AA05;;;96;;;0;0;0;0;0;N;;;;1;;;0;5;;
Metamizol (i.v.) 1000 mg/2 mL Inf. 30min LM=TL:NaCl 0,9%;;No Match;1170;0;;;;A11CC05;N02BB02;B01AD12;67;67.0;63.0;0;0;0;0;0;A;;;;0;1;0;0;5;;
CELLCEPT 500 mg Tabletten | (Mycophenolsäure);;No Match;1162;1;mycophenolsäure;L04AA06;;L04AA06;;;73;;;0;0;1;0;0;L;;1;;1;;;0;5;;
Sevredol;;No Match;1144;0;;;N02AA01;N02AA01;G02CB05;;100;75.0;;0;0;0;1;0;N;;;1;1;0;;0;5;;
Vitamin B1;;No Match;1130;0;;;;A11DA01;A11CC05;N07XB52;100;82.0;82.0;0;0;0;0;0;A;;;;1;0;0;0;5;;
MAGNESIUM VERLA 300 Orange Granulat | (Magnesium-Ion);;No Match;1078;1;magnesium-ion;;;A12CC05;A12CC11;A12CC02;100;68.0;59.0;0;0;0;0;0;A;;;;0;0;0;V06XX02;5;;
XIPAMID HEXAL 20 mg Tabletten | (Xipamid);;No Match;1052;1;xipamid;C03BA10;;C03BA10;;;62;;;0;0;1;0;0;C;;1;;1;;;0;5;;
INNOHEP 20.000 Anti XA I.E./ml 0,7ml Fertigspr. | (Tinzaparin natrium);;No Match;1029;1;tinzaparin natrium;B01AB10;;B01AB10;;;77;;;0;0;1;0;0;B;;1;;1;;;0;5;;
METOHEXAL Succ 47,5 mg Retardtabletten | (Metoprolol);;No Match;1018;1;metoprolol;;C07AB02;C07AB02;;;95;;;0;0;0;1;0;C;;;1;1;;;0;5;;
UNACID 3 g z. Infusion Trockensubst.o.Lösungsm. | (Ampicillin, Sulbactam, Natrium-Ion);;No Match;1011;1;ampicillin, sulbactam, natrium-ion;;;J01CR01;;;75;;;0;0;0;0;0;J;;;;1;;;0;5;;
PANTOPRAZOL Amneal 40 mg Plv.z.Herst.e.Injek.-Lsg. | (Pantoprazol);;No Match;995;1;pantoprazol;A02BC02;;A02BC02;;;84;;;0;0;1;0;0;A;;1;;1;;;0;5;;
IBUHEXAL 400 Filmtabletten | (Ibuprofen);;No Match;987;1;ibuprofen;;;M01AE01;;;53;;;0;0;0;0;0;M;;;;1;;;0;5;;
MONO EMBOLEX 3.000 I.E.Prophyl.Sicherh.Spr. | (Certoparin natrium) !GFR>30;;No Match;962;1;certoparin natrium) !gfr>3;;;B01AB13;B03AC;;80;58.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
NOVAMINSULFON ratioph.1 g/2 ml Inj.Lsg. Ampullen | (Metamizol);;No Match;942;1;metamizol;N02BB02;;N02BB02;;;81;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Metamizol-Natrium (i.v.) 1000 mg/ 2 mL Inf. 30min LM=TL:NaCl 0,9%;;No Match;936;0;;;;V03AE01;B02BD17;B01AB01;67;60.0;60.0;0;0;0;0;0;V;;;;0;0;0;N02BB02;5;;
INHIXA 8.000 I.E. 80 mg/0,8 ml ILO F.Sp.+Sich-Sys. | (Enoxaparin natrium);;No Match;931;1;enoxaparin natrium;B01AB05;;B01AB05;;;38;;;0;0;1;0;0;B;;1;;1;;;0;5;;
TAVOR 0,5 Tabletten | (Lorazepam);;No Match;928;1;lorazepam;N05BA06;;N05BA06;;;78;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Magnesium Diasporal;;No Match;915;0;;;;A12CC05;A12CC30;;75;68.0;;0;0;0;0;0;A;;;;0;0;;A12CC04;5;;
CEFUROXIM Fresenius 1500 mg Plv.Inf.-Lsg.-Herst. | (ab Saal);;No Match;911;1;ab saal;;;J01DC02;;;90;;;0;0;0;0;0;J;;;;1;;;0;5;;
TRYASOL Codein forte Tropfen zum Einnehmen | (Codein);;No Match;906;1;codein;;;R05DA04;N02AJ06;;50;47.0;;0;0;0;0;0;R;;;;1;0;;0;5;;
peripherer Schmerzkatheter Naropin 0,2%;;No Match;898;0;;;;N01BB09;V06DB52;M02AA15;54;53.0;52.0;0;0;0;0;0;N;;;;1;0;0;0;5;;
SIMVAHEXAL 40 mg Filmtabletten | (Simvastatin);;No Match;887;1;simvastatin;C10AA01;;C10AA01;;;97;;;0;0;1;0;0;C;;1;;1;;;0;5;;
SCHWEDEN-TABLETTEN 0,25 | (Natriumchlorid);;No Match;873;1;natriumchlorid;;;S01KX02;B05XA16;;39;25.0;;0;0;0;0;0;S;;;;0;0;;V06XX02;5;Welcher ATC Code?;V06XX02
INHIXA 6.000 I.E. 60 mg/0,6 ml ILO F.Sp.+Sich-Sys. | (Enoxaparin natrium);;No Match;867;1;enoxaparin natrium;B01AB05;;B01AB05;;;38;;;0;0;1;0;0;B;;1;;1;;;0;5;;
CANDESARTAN HEXAL 4 mg Tabletten | (Candesartan);;No Match;858;1;candesartan;;C09CA06;C09CA06;;;95;;;0;0;0;1;0;C;;;1;1;;;0;5;;
LOPERAMID-ratiopharm akut 2 mg Filmtabletten | (Loperamid);;No Match;853;1;loperamid;A07DA03;;A07DA03;;;91;;;0;0;1;0;0;A;;1;;1;;;0;5;;
ARILIN 500 Filmtabletten | (Metronidazol);;No Match;853;1;metronidazol;;;G01AF01;D06BX01;J01XD01;100;38.0;35.0;0;0;0;0;0;G;;;;0;0;0;P01AB01;5;;
Skinsan® scrub - Körper;;No Match;849;0;;;;A03AX13;;;55;;;0;0;0;0;0;A;;;;0;;;nomed;nomed;no_med?;nomed, Körperpflege
CANDESARTAN HEXAL comp 16 mg/12,5 mg Tabletten | (Candesartan);;No Match;841;1;candesartan;;;C09CA06;C09DA26;;89;84.0;;0;0;0;0;0;C;;;;0;1;;0;5;;
LEPONEX 25 Tabletten | (Clozapin);;No Match;834;1;clozapin;N05AH02;;N05AH02;;;74;;;0;0;1;0;0;N;;1;;1;;;0;5;;
UNACID 3 g z. Infusion in 100 ml NaCl über 1 h| (Ampicillin, Sulbactam, Natrium-Ion);;No Match;831;1;ampicillin, sulbactam, natrium-ion;;;J01CR01;;;75;;;0;0;0;0;0;J;;;;1;;;0;5;;
DUROGESIC SMAT 50 µg/h 8,4mg Fentanyl/Pfl. | (Fentanyl);;No Match;781;1;fentanyl;;;N02AB03;;;90;;;0;0;0;0;0;N;;;;1;;;0;5;;
PRAVASTATIN HEXAL 20 mg Tabletten | (Pravastatin);;No Match;780;1;pravastatin;C10AA03;;C10AA03;;;92;;;0;0;1;0;0;C;;1;;1;;;0;5;;
Sultanol 2,5 mg;R03AC02;Fuzzy Match;764;0;;;;R03AC02;N06AA06;;100;74.0;;0;0;0;0;1;R;R;;;1;0;;0;5;;
ARIXTRA 2,5 mg/0,5 ml Inj.-Lsg.i.e.Fertigspritze | (Fondaparinux natrium);;No Match;755;1;fondaparinux natrium;B01AX05;;B01AX05;;;81;;;0;0;1;0;0;B;;1;;1;;;0;5;;
LOPERAMID akut Aristo 2 mg Tabletten | (Loperamid);;No Match;747;1;loperamid;A07DA03;;A07DA03;;;62;;;0;0;1;0;0;A;;1;;1;;;0;5;;
CITALOPRAM HEXAL 10 mg Filmtabletten | (Citalopram);;No Match;744;1;citalopram;N06AB04;;N06AB04;;;95;;;0;0;1;0;0;N;;1;;1;;;0;5;;
GABAPENTIN HEXAL 300 mg Hartkapseln | (Gabapentin);;No Match;739;1;gabapentin;N03AX12;;N03AX12;;;90;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Inf. E153 (i.v.) 1000 mL;;No Match;737;0;;;;N02BA13;B06AC01;B02BD09;55;55.0;52.0;0;0;0;0;0;N;;;;0;0;0;B05BB01;5;;
CANDESARTAN-1A Pharma 16 mg Tabletten | (Candesartan);;No Match;726;1;candesartan;;;C09CA06;;;82;;;0;0;0;0;0;C;;;;1;;;0;5;;
LOCOL 80 mg Retardtabletten | (Fluvastatin);;No Match;723;1;fluvastatin;C10AA04;;C10AA04;;;26;;;0;0;1;0;0;C;;1;;1;;;0;5;;
DEKRISTOL 20.000 I.E. Weichkapseln | (Colecalciferol);;No Match;720;1;colecalciferol;;;A11CC05;;;92;;;0;0;0;0;0;A;;;;1;;;0;5;;
ATROVENT (Ipratropiumbromid) 0,5 mg;;No Match;717;0;;;;R03BB01;S01ED01;G02CB03;89;59.0;56.0;0;0;0;0;0;R;;;;1;0;0;0;5;;
BIFITERAL Sirup | (Lactulose);;No Match;714;1;lactulose;A06AD11;;A06AD11;;;75;;;0;0;1;0;0;A;;1;;1;;;0;5;;
Heparin;;No Match;707;0;;;;C05BA03;B01AB01;;100;100.0;;0;0;0;0;0;C;;;;0;1;;0;5;Welcher ATC Code?;B01AB01
PIPAMPERON HEXAL 40 mg Tabletten | (Pipamperon);;No Match;701;1;pipamperon;N05AD05;;N05AD05;;;91;;;0;0;1;0;0;N;;1;;1;;;0;5;;
CEFUROXIM 1500 mg Plv.Inf.-Lsg.-Herst. in 50mlNaCl über 1h (Cefuroxim, Natrium-Ion) GFR>50;;No Match;697;0;;;;J01DC02;;;84;;;0;0;0;0;0;J;;;;1;;;0;5;;
MOTILIUM Filmtabletten | (Domperidon);;No Match;685;1;domperidon;A03FA03;;A03FA03;;;61;;;0;0;1;0;0;A;;1;;1;;;0;5;;
Ibuprofen (p.o.) 40 mg/mL Suspension;;No Match;683;0;;;;M01AE01;;;81;;;0;0;0;0;0;M;;;;1;;;0;5;ATC Code M01AE01 korrekt?;M01AE01
Actrapid;;No Match;683;0;;;A10AB01;A10AB01;;;100;;;0;0;0;1;0;A;;;1;1;;;0;5;;
MIRTAZAPIN HEXAL 30 mg Filmtabletten | (Mirtazapin);;No Match;681;1;mirtazapin;N06AX11;;N06AX11;;;91;;;0;0;1;0;0;N;;1;;1;;;0;5;;
INNOHEP 20.000 Anti XA I.E./ml 0,5ml Fertigspr. | (Tinzaparin natrium);;No Match;680;1;tinzaparin natrium;B01AB10;;B01AB10;;;77;;;0;0;1;0;0;B;;1;;1;;;0;5;;
PREDNISOLON;;No Match;671;0;;;;S01CA53;H02AB06;;100;100.0;;0;0;0;0;0;S;;;;0;1;;0;5;;
KALINOR Brausetabletten | (Kalium-Ion, Kalium-Ion, Citrat-Trianion);A12BA30;Fuzzy Match;657;1;kalium-ion, kalium-ion, citrat-trianion;;;A12BA30;B05CB10;A12BA01;100;54.0;53.0;0;0;0;0;1;A;A;;;1;0;0;0;5;;
IBUPROFEN Atid 600 mg Filmtabletten | (Ibuprofen);;No Match;653;1;ibuprofen;;;M01AE01;;;82;;;0;0;0;0;0;M;;;;1;;;0;5;;
XIPAMID HEXAL 40 mg Tabletten | (Xipamid);;No Match;647;1;xipamid;C03BA10;;C03BA10;;;67;;;0;0;1;0;0;C;;1;;1;;;0;5;;
Faustan (Diazepam);;No Match;641;0;;;;N05BA01;;;70;;;0;0;0;0;0;N;;;;1;;;0;5;;
NOVAMINSULFON ratioph.500 mg Tabletten | (Metamizol);;No Match;641;1;metamizol;N02BB02;;N02BB02;;;93;;;0;0;1;0;0;N;;1;;1;;;0;5;;
Schmerzkatheter Naropin 0,2%;;No Match;636;0;;;;N02AJ06;N01BB09;M04AA51;54;54.0;52.0;0;0;0;0;0;N;;;;0;1;0;0;5;;
SIMVAHEXAL 20 mg Filmtabletten | (Simvastatin);;No Match;630;1;simvastatin;C10AA01;;C10AA01;;;97;;;0;0;1;0;0;C;;1;;1;;;0;5;;
METOHEXAL Succ 95 mg Retardtabletten | (Metoprolol);;No Match;614;1;metoprolol;;C07AB02;C07AB02;;;94;;;0;0;0;1;0;C;;;1;1;;;0;5;;
Pantoprazol;;No Match;612;0;;;A02BC02;A02BC02;;;100;;;0;0;0;1;0;A;;;1;1;;;0;5;;
RISPERIDON HEXAL Filmtabletten | (Risperidon);;No Match;612;1;risperidon;N05AX08;;N05AX08;;;89;;;0;0;1;0;0;N;;1;;1;;;0;5;;
UNACID 3 g;;No Match;611;0;;;;J01CR01;;;75;;;0;0;0;0;0;J;;;;1;;;0;5;;
INHIXA 2.000 I.E. 20 mg/0,2 ml ILO F.Sp.+Sich-Sys. | (Enoxaparin natrium);;No Match;610;1;enoxaparin natrium;B01AB05;;B01AB05;;;39;;;0;0;1;0;0;B;;1;;1;;;0;5;;
NOVAMINSULFON ratioph.1 g/2 ml Inj.Lsg. Ampullen | (Metamizol) in 100ml NaCl;;No Match;608;1;metamizol) in 100ml nac;;;N02BB02;;;81;;;0;0;0;0;0;N;;;;1;;;0;5;;
E 154;;No Match;601;0;;;;B05BB11;L01EX09;;75;53.0;;0;0;0;0;0;B;;;;1;0;;0;5;;
NOVAMINSULFON ratioph.1 g/2 ml Inj.Lsg. Ampullen | (Metamizol) Kurzinfusion;;No Match;593;1;metamizol) kurzinfusio;;;N02BB02;;;81;;;0;0;0;0;0;N;;;;1;;;0;5;;
METRONIDAZOL B.Braun 5 mg/ml Infusionslösung | (ab Saal);;No Match;582;1;ab saal;;;J01XD01;P01AB01;A03BA01;95;71.0;62.0;0;0;0;0;0;J;;;;1;0;0;0;5;;
