concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
715806,elapegademase; parenteral,Drug,ATC,ATC 5th,C,L03AX21,1970-01-01,2099-12-31,
715807,inotersen; parenteral,Drug,ATC,ATC 5th,C,N07XX15,1970-01-01,2099-12-31,
715809,revefenacin; inhalant,Drug,ATC,ATC 5th,C,R03BB08,1970-01-01,2099-12-31,
715811,emapalumab; parenteral,Drug,ATC,ATC 5th,C,L04AA39,1970-01-01,2099-12-31,
715815,ravulizumab; parenteral,Drug,ATC,ATC 5th,C,L04AA43,1970-01-01,2099-12-31,
715816,tagraxofusp; parenteral,Drug,ATC,ATC 5th,C,L01XX67,1970-01-01,2099-12-31,
715817,caplacizumab; parenteral,Drug,ATC,ATC 5th,C,B01AX07,1970-01-01,2099-12-31,
715818,ambrisentan and tadalafil; oral,Drug,ATC,ATC 5th,C,C02KX52,1970-01-01,2099-12-31,
715819,"candesartan, amlodipine and hydrochlorothiazide; oral",Drug,ATC,ATC 5th,C,C09DX06,1970-01-01,2099-12-31,
715820,fexapotide,Drug,ATC,ATC 5th,C,G04CX04,1970-01-01,2099-12-31,
715821,gemigliptin and rosuvastatin; oral,Drug,ATC,ATC 5th,C,A10BH52,1970-01-01,2099-12-31,
715822,ibandronic acid and colecalciferol; systemic,Drug,ATC,ATC 5th,C,M05BB09,1970-01-01,2099-12-31,
715823,"isoniazid, sulfamethoxazole, trimethoprim and pyridoxine; systemic",Drug,ATC,ATC 5th,C,J04AM08,1970-01-01,2099-12-31,
715824,leuprorelin and bicalutamide; systemic,Drug,ATC,ATC 5th,C,L02AE51,1970-01-01,2099-12-31,
715825,"metformin, saxagliptin and dapagliflozin; systemic",Drug,ATC,ATC 5th,C,A10BD25,1970-01-01,2099-12-31,
715826,"esketamine; nasal, parenteral",Drug,ATC,ATC 5th,C,N06AX27,1970-01-01,2099-12-31,
715827,latanoprost and netarsudil; ophthalmic,Drug,ATC,ATC 5th,C,S01EE51,1970-01-01,2099-12-31,
715828,siponimod; oral,Drug,ATC,ATC 5th,C,L04AA42,1970-01-01,2099-12-31,
715829,lamivudine and dolutegravir; oral,Drug,ATC,ATC 5th,C,J05AR25,1970-01-01,2099-12-31,
715830,"norgestimate and ethinylestradiol; oral, topical, transdermal, vaginal",Drug,ATC,ATC 5th,C,G03AB09,1970-01-01,2099-12-31,
715831,risankizumab; parenteral,Drug,ATC,ATC 5th,C,L04AC18,1970-01-01,2099-12-31,
715833,imlifidase; parenteral,Drug,ATC,ATC 5th,C,L04AA41,1970-01-01,2099-12-31,
715834,selinexor; oral,Drug,ATC,ATC 5th,C,L01XX66,1970-01-01,2099-12-31,
715835,darolutamide; oral,Drug,ATC,ATC 5th,C,L02BB06,1970-01-01,2099-12-31,
715836,upadacitinib; oral,Drug,ATC,ATC 5th,C,L04AA44,1970-01-01,2099-12-31,
715839,lefamulin; systemic,Drug,ATC,ATC 5th,C,J01XX12,1970-01-01,2099-12-31,
715840,brolucizumab; ophthalmic,Drug,ATC,ATC 5th,C,S01LA06,1970-01-01,2099-12-31,
715841,"crizanlizumab; systemic, topical",Drug,ATC,ATC 5th,C,B06AX01,1970-01-01,2099-12-31,
715842,luspatercept; parenteral,Drug,ATC,ATC 5th,C,B03XA06,1970-01-01,2099-12-31,
715843,13C-urea; oral,Drug,ATC,ATC 5th,C,V04CX05,1970-01-01,2099-12-31,
715844,atorvastatin and omega-3 fatty acids; systemic,Drug,ATC,ATC 5th,C,C10BA08,1970-01-01,2099-12-31,
715845,"daclatasvir, asunaprevir and beclabuvir; oral",Drug,ATC,ATC 5th,C,J05AP58,1970-01-01,2099-12-31,
715846,darvadstrocel; parenteral,Drug,ATC,ATC 5th,C,L04AX08,1970-01-01,2099-12-31,
715847,"econazole, combinations; systemic, vaginal",Drug,ATC,ATC 5th,C,G01AF55,1970-01-01,2099-12-31,
715848,fimasartan and amlodipine; oral,Drug,ATC,ATC 5th,C,C09DB09,1970-01-01,2099-12-31,
715849,formoterol and tiotropium bromide; inhalant,Drug,ATC,ATC 5th,C,R03AL10,1970-01-01,2099-12-31,
715850,"formoterol, glycopyrronium bromide and budesonide; inhalant",Drug,ATC,ATC 5th,C,R03AL11,1970-01-01,2099-12-31,
715851,indacaterol and mometasone; inhalant,Drug,ATC,ATC 5th,C,R03AK14,1970-01-01,2099-12-31,
715852,"indacaterol, glycopyrronium bromide and mometasone; inhalant",Drug,ATC,ATC 5th,C,R03AL12,1970-01-01,2099-12-31,
715853,"irbesartan, amlodipine and hydrochlorothiazide; systemic",Drug,ATC,ATC 5th,C,C09DX07,1970-01-01,2099-12-31,
715854,"lamivudine, tenofovir disoproxil and dolutegravir; oral",Drug,ATC,ATC 5th,C,J05AR27,1970-01-01,2099-12-31,
715855,"perindopril, bisoprolol and amlodipine; systemic",Drug,ATC,ATC 5th,C,C09BX04,1970-01-01,2099-12-31,
715856,"rabeprazole, amoxicillin and clarithromycin; systemic",Drug,ATC,ATC 5th,C,A02BD12,1970-01-01,2099-12-31,
715857,"rabeprazole, amoxicillin and metronidazole; systemic",Drug,ATC,ATC 5th,C,A02BD13,1970-01-01,2099-12-31,
715858,rosuvastatin and fenofibrate; oral,Drug,ATC,ATC 5th,C,C10BA09,1970-01-01,2099-12-31,
715859,rosuvastatin and fimasartan; oral,Drug,ATC,ATC 5th,C,C10BX16,1970-01-01,2099-12-31,
715860,rosuvastatin and omega-3 fatty acids; systemic,Drug,ATC,ATC 5th,C,C10BA07,1970-01-01,2099-12-31,
715861,rosuvastatin and ramipril; oral,Drug,ATC,ATC 5th,C,C10BX17,1970-01-01,2099-12-31,
715862,tamsulosin and tadalafil; systemic,Drug,ATC,ATC 5th,C,G04CA54,1970-01-01,2099-12-31,
715863,"vonoprazan, amoxicillin and clarithromycin; systemic",Drug,ATC,ATC 5th,C,A02BD14,1970-01-01,2099-12-31,
715864,"vonoprazan, amoxicillin and metronidazole; systemic",Drug,ATC,ATC 5th,C,A02BD15,1970-01-01,2099-12-31,
715865,Calcitonin gene-related peptide (CGRP) antagonists,Drug,ATC,ATC 4th,C,N02CD,1970-01-01,2099-12-31,
715866,bempedoic acid; oral,Drug,ATC,ATC 5th,C,C10AX15,1970-01-01,2099-12-31,
715867,ozanimod; oral,Drug,ATC,ATC 5th,C,L04AA38,1970-01-01,2099-12-31,
715868,darunavir and ritonavir; oral,Drug,ATC,ATC 5th,C,J05AR26,1970-01-01,2099-12-31,
715870,arginine and lysine; systemic,Drug,ATC,ATC 5th,C,V03AF11,1970-01-01,2099-12-31,
715871,homatropine methylbromide; systemic,Drug,ATC,ATC 5th,C,A03BB06,1970-01-01,2099-12-31,
715872,rifamycin; systemic,Drug,ATC,ATC 5th,C,A07AA13,1970-01-01,2099-12-31,
715873,doxepin; topical,Drug,ATC,ATC 5th,C,D04AX01,1970-01-01,2099-12-31,
715874,edrophonium; parenteral,Drug,ATC,ATC 5th,C,V04CX07,1970-01-01,2099-12-31,
715875,ulinastatin; parenteral,Drug,ATC,ATC 5th,C,B02AB05,1970-01-01,2099-12-31,
715876,floxuridine; parenteral,Drug,ATC,ATC 5th,C,L01BC09,1970-01-01,2099-12-31,
715877,folic acid; systemic (diagnostic agents),Drug,ATC,ATC 5th,C,V04CX02,1970-01-01,2099-12-31,
715878,hydrogen peroxide; topical (dermatologicals),Drug,ATC,ATC 5th,C,D11AX25,1970-01-01,2099-12-31,
715879,indocyanine green; parenteral,Drug,ATC,ATC 5th,C,V04CX01,1970-01-01,2099-12-31,
715880,mannitol; systemic (diagnostic agents),Drug,ATC,ATC 5th,C,V04CX04,1970-01-01,2099-12-31,
715881,methionine (11C); systemic,Drug,ATC,ATC 5th,C,V09IX13,1970-01-01,2099-12-31,
715882,"rifampicin, ethambutol and isoniazid; systemic",Drug,ATC,ATC 5th,C,J04AM07,1970-01-01,2099-12-31,
715886,naldemedine; oral,Drug,ATC,ATC 5th,C,A06AH05,1970-01-01,2099-12-31,
715887,ertugliflozin; oral,Drug,ATC,ATC 5th,C,A10BK04,1970-01-01,2099-12-31,
715888,telotristat; oral,Drug,ATC,ATC 5th,C,A16AX15,1970-01-01,2099-12-31,
715889,lusutrombopag; systemic,Drug,ATC,ATC 5th,C,B02BX07,1970-01-01,2099-12-31,
715890,avatrombopag; systemic,Drug,ATC,ATC 5th,C,B02BX08,1970-01-01,2099-12-31,
715891,fostamatinib; systemic,Drug,ATC,ATC 5th,C,B02BX09,1970-01-01,2099-12-31,
715892,ferrous sodium citrate; oral,Drug,ATC,ATC 5th,C,B03AA12,1970-01-01,2099-12-31,
715893,centella asiatica herba; topical,Drug,ATC,ATC 5th,C,D03AX14,1970-01-01,2099-12-31,
715894,rifamycin; topical,Drug,ATC,ATC 5th,C,D06AX15,1970-01-01,2099-12-31,
715895,trifarotene; topical,Drug,ATC,ATC 5th,C,D10AD06,1970-01-01,2099-12-31,
715896,glycopyrronium; topical,Drug,ATC,ATC 5th,C,D11AA01,1970-01-01,2099-12-31,
715897,crisaborole; topical,Drug,ATC,ATC 5th,C,D11AH06,1970-01-01,2099-12-31,
715898,dapivirine; vaginal,Drug,ATC,ATC 5th,C,G01AX17,1970-01-01,2099-12-31,
715899,vaginal ring with progestogen; vaginal,Drug,ATC,ATC 5th,C,G02BB02,1970-01-01,2099-12-31,
715900,medroxyprogesterone and estradiol; systemic,Drug,ATC,ATC 5th,C,G03AA17,1970-01-01,2099-12-31,
715901,prasterone; vaginal,Drug,ATC,ATC 5th,C,G03XX01,1970-01-01,2099-12-31,
715902,osilodrostat; oral,Drug,ATC,ATC 5th,C,H02CA02,1970-01-01,2099-12-31,
715903,eravacycline; systemic,Drug,ATC,ATC 5th,C,J01AA13,1970-01-01,2099-12-31,
715904,sarecycline; oral,Drug,ATC,ATC 5th,C,J01AA14,1970-01-01,2099-12-31,
715905,omadacycline; oral,Drug,ATC,ATC 5th,C,J01AA15,1970-01-01,2099-12-31,
715906,cefteram; systemic,Drug,ATC,ATC 5th,C,J01DD18,1970-01-01,2099-12-31,
715907,cefpodoxime and beta-lactamase inhibitor; systemic,Drug,ATC,ATC 5th,C,J01DD64,1970-01-01,2099-12-31,
715908,tebipenem pivoxil; systemic,Drug,ATC,ATC 5th,C,J01DH06,1970-01-01,2099-12-31,
715909,meropenem and vaborbactam; parenteral,Drug,ATC,ATC 5th,C,J01DH52,1970-01-01,2099-12-31,
715910,tosufloxacin; systemic,Drug,ATC,ATC 5th,C,J01MA22,1970-01-01,2099-12-31,
715911,delafloxacin; systemic,Drug,ATC,ATC 5th,C,J01MA23,1970-01-01,2099-12-31,
715912,enviomycin; systemic,Drug,ATC,ATC 5th,C,J04AB06,1970-01-01,2099-12-31,
715913,doravirine; oral,Drug,ATC,ATC 5th,C,J05AG06,1970-01-01,2099-12-31,
715914,peramivir; systemic,Drug,ATC,ATC 5th,C,J05AH03,1970-01-01,2099-12-31,
715915,laninamivir; inhalant,Drug,ATC,ATC 5th,C,J05AH04,1970-01-01,2099-12-31,
715916,elbasvir; oral,Drug,ATC,ATC 5th,C,J05AP10,1970-01-01,2099-12-31,
715917,grazoprevir; oral,Drug,ATC,ATC 5th,C,J05AP11,1970-01-01,2099-12-31,
715918,atazanavir and ritonavir; oral,Drug,ATC,ATC 5th,C,J05AR23,1970-01-01,2099-12-31,
715919,enisamium iodide; oral,Drug,ATC,ATC 5th,C,J05AX17,1970-01-01,2099-12-31,
715920,letermovir; oral,Drug,ATC,ATC 5th,C,J05AX18,1970-01-01,2099-12-31,
715921,tilorone; oral,Drug,ATC,ATC 5th,C,J05AX19,1970-01-01,2099-12-31,
715922,pentanedioic acid imidazolyl ethanamide; oral,Drug,ATC,ATC 5th,C,J05AX21,1970-01-01,2099-12-31,
715923,baloxavir marboxil; oral,Drug,ATC,ATC 5th,C,J05AX25,1970-01-01,2099-12-31,
715924,amenamevir; oral,Drug,ATC,ATC 5th,C,J05AX26,1970-01-01,2099-12-31,
715925,favipiravir; oral,Drug,ATC,ATC 5th,C,J05AX27,1970-01-01,2099-12-31,
715926,apalutamide; oral,Drug,ATC,ATC 5th,C,L02BB05,1970-01-01,2099-12-31,
715927,cladribine; oral,Drug,ATC,ATC 5th,C,L04AA40,1970-01-01,2099-12-31,
715928,opinercept; systemic,Drug,ATC,ATC 5th,C,L04AB07,1970-01-01,2099-12-31,
715929,dimethyl fumarate; oral,Drug,ATC,ATC 5th,C,L04AX07,1970-01-01,2099-12-31,
715930,erenumab; parenteral,Drug,ATC,ATC 5th,C,N02CD01,1970-01-01,2099-12-31,
715931,galcanezumab; parenteral,Drug,ATC,ATC 5th,C,N02CD02,1970-01-01,2099-12-31,
715932,fremanezumab; systemic,Drug,ATC,ATC 5th,C,N02CD03,1970-01-01,2099-12-31,
715933,solriamfetol; oral,Drug,ATC,ATC 5th,C,N06BA14,1970-01-01,2099-12-31,
715934,fexinidazole; oral,Drug,ATC,ATC 5th,C,P01CA03,1970-01-01,2099-12-31,
715935,clenbuterol and ambroxol; systemic,Drug,ATC,ATC 5th,C,R03CC63,1970-01-01,2099-12-31,
715936,omidenepag; ophthalmic,Drug,ATC,ATC 5th,C,S01EX06,1970-01-01,2099-12-31,
715937,riboflavin; ophthalmic,Drug,ATC,ATC 5th,C,S01XA26,1970-01-01,2099-12-31,
715938,voretigene neparvovec; parenteral,Drug,ATC,ATC 5th,C,S01XA27,1970-01-01,2099-12-31,
947734,peficitinib; oral,Drug,ATC,ATC 5th,C,L04AA49,2021-02-22,2099-12-31,
947735,palbociclib; oral,Drug,ATC,ATC 5th,C,L01EF01,2021-02-22,2099-12-31,
947736,golodirsen; parenteral,Drug,ATC,ATC 5th,C,M09AX08,2021-02-22,2099-12-31,
947737,cobimetinib; oral,Drug,ATC,ATC 5th,C,L01EE02,2021-02-22,2099-12-31,
947738,ponatinib; oral,Drug,ATC,ATC 5th,C,L01EA05,2021-02-22,2099-12-31,
947739,"artesunate, sulfadoxine and pyrimethamine; systemic",Drug,ATC,ATC 5th,C,P01BF09,2021-02-22,2099-12-31,
947740,bosutinib; oral,Drug,ATC,ATC 5th,C,L01EA04,2021-02-22,2099-12-31,
947741,gilteritinib; oral,Drug,ATC,ATC 5th,C,L01EX13,2021-02-22,2099-12-31,
947742,lapatinib; oral,Drug,ATC,ATC 5th,C,L01EH01,2021-02-22,2099-12-31,
947743,sotorasib; systemic,Drug,ATC,ATC 5th,C,L01XX73,2021-02-22,2099-12-31,
947744,ruxolitinib; oral,Drug,ATC,ATC 5th,C,L01EJ01,2021-02-22,2099-12-31,
947745,bevacizumab; ophthalmic,Drug,ATC,ATC 5th,C,S01LA08,2021-02-22,2099-12-31,
947746,gallium psma-11 (68ga),Drug,ATC,ATC 5th,C,V09IX14,2021-02-22,2099-12-31,
947747,abicipar pegol; ophthalmic,Drug,ATC,ATC 5th,C,S01LA07,2021-02-22,2099-12-31,
947748,"alitretinoin; oral, topical (retinoids for cancer treatment)",Drug,ATC,ATC 5th,C,L01XF02,2021-02-22,2099-12-31,
947749,tanezumab; systemic,Drug,ATC,ATC 5th,C,N02BG12,2021-02-22,2099-12-31,
947750,panobinostat; oral,Drug,ATC,ATC 5th,C,L01XH03,2021-02-22,2099-12-31,
947751,tretinoin; systemic,Drug,ATC,ATC 5th,C,L01XF01,2021-02-22,2099-12-31,
947752,ceritinib; oral,Drug,ATC,ATC 5th,C,L01ED02,2021-02-22,2099-12-31,
947753,PROTEIN KINASE INHIBITORS,Drug,ATC,ATC 3rd,C,L01E,2021-02-22,2099-12-31,
947754,afatinib; oral,Drug,ATC,ATC 5th,C,L01EB03,2021-02-22,2099-12-31,
947755,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Drug,ATC,ATC 4th,C,L01EB,2021-02-22,2099-12-31,
947756,metadoxine; systemic,Drug,ATC,ATC 5th,C,A05BA09,2021-02-22,2099-12-31,
947757,Mammalian target of rapamycin (mTOR) kinase inhibitors,Drug,ATC,ATC 4th,C,L01EG,2021-02-22,2099-12-31,
947758,trametinib; oral,Drug,ATC,ATC 5th,C,L01EE01,2021-02-22,2099-12-31,
947759,nintedanib; oral,Drug,ATC,ATC 5th,C,L01EX09,2021-02-22,2099-12-31,
947760,Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,Drug,ATC,ATC 4th,C,L01EK,2021-02-22,2099-12-31,
947761,cabozantinib; oral,Drug,ATC,ATC 5th,C,L01EX07,2021-02-22,2099-12-31,
947762,tafasitamab; parenteral,Drug,ATC,ATC 5th,C,L01XC35,2021-02-22,2099-12-31,
947763,fedratinib; oral,Drug,ATC,ATC 5th,C,L01EJ02,2021-02-22,2099-12-31,
947764,asciminib; systemic,Drug,ATC,ATC 5th,C,L01EA06,2021-02-22,2099-12-31,
947765,remdesivir; parenteral,Drug,ATC,ATC 5th,C,J05AB16,2021-02-22,2099-12-31,
947766,copanlisib; oral,Drug,ATC,ATC 5th,C,L01EM02,2021-02-22,2099-12-31,
947767,neratinib; oral,Drug,ATC,ATC 5th,C,L01EH02,2021-02-22,2099-12-31,
947768,dasatinib; oral,Drug,ATC,ATC 5th,C,L01EA02,2021-02-22,2099-12-31,
947769,palovarotene; systemic,Drug,ATC,ATC 5th,C,M09AX11,2021-02-22,2099-12-31,
947770,alpelisib; oral,Drug,ATC,ATC 5th,C,L01EM03,2021-02-22,2099-12-31,
947771,oxymorphone; systemic,Drug,ATC,ATC 5th,C,N02AA11,2021-02-22,2099-12-31,
947772,vadadustat; systemic,Drug,ATC,ATC 5th,C,B03XA08,2021-02-22,2099-12-31,
947773,masitinib; systemic,Drug,ATC,ATC 5th,C,L01EX06,2021-02-22,2099-12-31,
947774,sorafenib; oral,Drug,ATC,ATC 5th,C,L01EX02,2021-02-22,2099-12-31,
947775,tenapanor; oral,Drug,ATC,ATC 5th,C,A06AX08,2021-02-22,2099-12-31,
947776,alectinib; oral,Drug,ATC,ATC 5th,C,L01ED03,2021-02-22,2099-12-31,
947777,"trafermin; otic, topical",Drug,ATC,ATC 5th,C,D03AX15,2021-02-22,2099-12-31,
947778,crizotinib; oral,Drug,ATC,ATC 5th,C,L01ED01,2021-02-22,2099-12-31,
947779,pazopanib; oral,Drug,ATC,ATC 5th,C,L01EX03,2021-02-22,2099-12-31,
947780,triheptanoin; oral,Drug,ATC,ATC 5th,C,A16AX17,2021-02-22,2099-12-31,
947781,menthae piperitae aetheroleum; systemic,Drug,ATC,ATC 5th,C,A03AX15,2021-02-22,2099-12-31,
947782,Topoisomerase 1 (TOP1) inhibitors,Drug,ATC,ATC 4th,C,L01CE,2021-02-22,2099-12-31,
947783,Bruton's tyrosine kinase (BTK) inhibitors,Drug,ATC,ATC 4th,C,L01EL,2021-02-22,2099-12-31,
947784,tazemetostat; oral,Drug,ATC,ATC 5th,C,L01XX72,2021-02-22,2099-12-31,
947785,netakimab; systemic,Drug,ATC,ATC 5th,C,L04AC20,2021-02-22,2099-12-31,
947786,aducanumab; systemic,Drug,ATC,ATC 5th,C,N06DX03,2021-02-22,2099-12-31,
947787,mirogabalin; oral,Drug,ATC,ATC 5th,C,N02BG11,2021-02-22,2099-12-31,
947788,inebilizumab; parenteral,Drug,ATC,ATC 5th,C,L04AA47,2021-02-22,2099-12-31,
947789,Janus-associated kinase (JAK) inhibitors,Drug,ATC,ATC 4th,C,L01EJ,2021-02-22,2099-12-31,
947790,pemigatinib; oral,Drug,ATC,ATC 5th,C,L01EX20,2021-02-22,2099-12-31,
947791,ferrous gluconate; systemic,Drug,ATC,ATC 5th,C,B03AD05,2021-02-22,2099-12-31,
947792,odevixibat; systemic,Drug,ATC,ATC 5th,C,A05AX05,2021-02-22,2099-12-31,
947793,selpercatinib; oral,Drug,ATC,ATC 5th,C,L01EX22,2021-02-22,2099-12-31,
947794,Histone deacetylase (HDAC) inhibitors,Drug,ATC,ATC 4th,C,L01XH,2021-02-22,2099-12-31,
947795,esflurbiprofen; topical,Drug,ATC,ATC 5th,C,M02AA29,2021-02-22,2099-12-31,
947796,elvitegravir; oral,Drug,ATC,ATC 5th,C,J05AJ02,2021-02-22,2099-12-31,
947797,larotrectinib; oral,Drug,ATC,ATC 5th,C,L01EX12,2021-02-22,2099-12-31,
947798,lorlatinib; oral,Drug,ATC,ATC 5th,C,L01ED05,2021-02-22,2099-12-31,
947799,itacitinib; systemic,Drug,ATC,ATC 5th,C,L04AA46,2021-02-22,2099-12-31,
947800,temsirolimus; parenteral,Drug,ATC,ATC 5th,C,L01EG01,2021-02-22,2099-12-31,
947801,"bexarotene; oral, topical",Drug,ATC,ATC 5th,C,L01XF03,2021-02-22,2099-12-31,
947802,cediranib; systemic,Drug,ATC,ATC 5th,C,L01EK02,2021-02-22,2099-12-31,
947803,prolgolimab; systemic,Drug,ATC,ATC 5th,C,L01XC42,2021-02-22,2099-12-31,
947804,abaloparatide; parenteral,Drug,ATC,ATC 5th,C,H05AA04,2021-02-22,2099-12-31,
947805,artemisinin and naphthoquine; systemic,Drug,ATC,ATC 5th,C,P01BF08,2021-02-22,2099-12-31,
947806,abemaciclib; oral,Drug,ATC,ATC 5th,C,L01EF03,2021-02-22,2099-12-31,
947807,"relugolix, estradiol and norethisterone; systemic",Drug,ATC,ATC 5th,C,H01CC54,2021-02-22,2099-12-31,
947808,trastuzumab deruxtecan; systemic,Drug,ATC,ATC 5th,C,L01XC41,2021-02-22,2099-12-31,
947809,anifrolumab; systemic,Drug,ATC,ATC 5th,C,L04AA51,2021-02-22,2099-12-31,
947810,minocycline; topical,Drug,ATC,ATC 5th,C,D10AF07,2021-02-22,2099-12-31,
947811,lascufloxacin; oral,Drug,ATC,ATC 5th,C,J01MA25,2021-02-22,2099-12-31,
947812,entinostat; systemic,Drug,ATC,ATC 5th,C,L01XH05,2021-02-22,2099-12-31,
947813,metronidazole and diloxanide; systemic,Drug,ATC,ATC 5th,C,P01AB52,2021-02-22,2099-12-31,
947814,etirinotecan pegol; systemic,Drug,ATC,ATC 5th,C,L01CE03,2021-02-22,2099-12-31,
947815,"metformin, linagliptin and empagliflozin; systemic",Drug,ATC,ATC 5th,C,A10BD27,2021-02-22,2099-12-31,
947816,abrocitinib; topical,Drug,ATC,ATC 5th,C,D11AH08,2021-02-22,2099-12-31,
947817,covid-19 vaccines; systemic,Drug,ATC,ATC 5th,C,J07BX03,2021-02-22,2099-12-31,
947818,midostaurin; oral,Drug,ATC,ATC 5th,C,L01EX10,2021-02-22,2099-12-31,
947819,vemurafenib; oral,Drug,ATC,ATC 5th,C,L01EC01,2021-02-22,2099-12-31,
947820,bempedoic acid and ezetimibe; oral,Drug,ATC,ATC 5th,C,C10BA10,2021-02-22,2099-12-31,
947821,ubrogepant; oral,Drug,ATC,ATC 5th,C,N02CD04,2021-02-22,2099-12-31,
947822,lobeglitazone; oral,Drug,ATC,ATC 5th,C,A10BG04,2021-02-22,2099-12-31,
